age,job,marital,education,balance,housing,duration,campaign,approval
30.0,10,1,0,1475,no,79.0,1,no
33.0,7,1,1,2030,yes,220.0,1,no
35.0,4,2,2,1303,yes,185.0,1,no
30.0,4,1,2,1352,yes,199.0,4,no
59.0,1,1,1,274,yes,226.0,1,no
35.0,4,2,2,934,no,141.0,2,no
36.0,6,1,2,569,yes,341.0,1,no
39.0,9,1,1,420,yes,151.0,2,no
41.0,2,1,2,491,yes,57.0,2,no
43.0,7,1,0,218,yes,313.0,1,no
39.0,7,1,1,2254,yes,273.0,1,no
43.0,0,1,1,531,yes,113.0,2,no
36.0,9,1,2,1173,no,-328.0,2,no
20.0,8,2,1,750,no,261.0,1,yes
31.0,1,1,1,620,yes,89.0,1,no
40.0,4,1,2,464,no,189.0,2,no
56.0,9,1,1,1949,no,239.0,5,no
37.0,0,2,2,1629,yes,114.0,1,no
25.0,1,2,0,163,,250.0,1,no
31.0,7,1,1,405,no,148.0,1,no
38.0,4,0,3,274,yes,-96.0,2,no
42.0,4,0,2,290,no,140.0,3,no
44.0,7,2,1,380,no,109.0,2,no
44.0,2,1,1,367,no,125.0,2,no
26.0,3,1,2,778,no,169.0,3,no
41.0,4,1,2,2117,no,182.0,2,no
55.0,1,1,0,845,yes,247.0,1,no
67.0,5,1,3,900,no,119.0,1,no
56.0,6,1,1,966,no,149.0,2,no
53.0,0,1,1,379,no,74.0,2,no
68.0,5,0,1,1965,no,897.0,2,yes
31.0,9,1,1,442,no,81.0,3,no
59.0,4,1,1,316,no,40.0,1,no
32.0,4,2,2,1676,yes,958.0,6,yes
49.0,9,1,2,1247,no,354.0,3,yes
42.0,0,0,1,1483,yes,150.0,1,no
78.0,5,0,0,499,no,97.0,1,yes
32.0,1,1,1,1565,yes,132.0,1,yes
0.0,4,1,1,1928,yes,765.0,1,yes
23.0,7,2,2,623,yes,16.0,18,no
38.0,4,2,2,2284,yes,609.0,2,no
36.0,4,2,2,786,no,106.0,2,no
52.0,1,1,1,1177,yes,365.0,1,no
32.0,9,1,2,652,yes,205.0,3,no
32.0,9,2,2,1599,yes,11.0,4,no
34.0,4,2,2,1029,yes,105.0,2,no
55.0,1,1,0,418,no,59.0,3,no
26.0,1,1,0,274,yes,425.0,1,no
32.0,2,2,0,27,yes,204.0,1,no
,0,1,3,2013,yes,181.0,1,yes
45.0,1,0,0,1012,no,1018.0,3,yes
37.0,9,2,1,498,yes,1740.0,2,no
38.0,9,2,1,324,no,98.0,2,no
34.0,9,1,2,1381,yes,441.0,1,yes
53.0,1,1,1,1606,yes,272.0,3,no
48.0,0,1,1,1791,yes,159.0,2,no
57.0,4,1,1,356,no,140.0,1,no
33.0,6,2,2,1584,no,295.0,1,no
36.0,5,2,1,375,yes,314.0,1,no
